"zip","city","county","state","pop"
"34113","Naples","Collier","FL",21409
"32778","Tavares","Lake","FL",21406
"32548","Fort Walton Beach","Okaloosa","FL",21315
"33852","Lake Placid","Highlands","FL",21202
"33323","Fort Lauderdale","Broward","FL",21195
"32967","Vero Beach","Indian River","FL",21111
"33603","Tampa","Hillsborough","FL",21044
"32311","Tallahassee","Leon","FL",21038
"33431","Boca Raton","Palm Beach","FL",20967
"32960","Vero Beach","Indian River","FL",20960
"33901","Fort Myers","Lee","FL",20950
"32796","Titusville","Brevard","FL",20948
"32952","Merritt Island","Brevard","FL",20732
"32713","Debary","Volusia","FL",20697
"32805","Orlando","Orange","FL",20695
"32305","Tallahassee","Wakulla","FL",20659
"33566","Plant City","Hillsborough","FL",20602
"33405","West Palm Beach","Palm Beach","FL",20537
"34972","Okeechobee","Okeechobee","FL",20496
"34691","Holiday","Pasco","FL",20473
"33525","Dade City","Pasco","FL",20449
"33714","Saint Petersburg","Pinellas","FL",20375
"33711","Saint Petersburg","Pinellas","FL",20366
"33763","Clearwater","Pinellas","FL",20195
"33487","Boca Raton","Palm Beach","FL",20176
"32836","Orlando","Orange","FL",20154
"34275","Nokomis","Sarasota","FL",20074
"33434","Boca Raton","Palm Beach","FL",20006
"33181","Miami","Miami-Dade","FL",19986
"32609","Gainesville","Alachua","FL",19906
"33541","Zephyrhills","Pasco","FL",19900
"32829","Orlando","Orange","FL",19888
"33440","Clewiston","Hendry","FL",19878
"34470","Ocala","Marion","FL",19856
"33897","Davenport","Polk","FL",19855
"33167","Miami","Miami-Dade","FL",19837
"32128","Daytona Beach","Volusia","FL",19806
"33761","Clearwater","Pinellas","FL",19744
"32803","Orlando","Orange","FL",19583
"33432","Boca Raton","Palm Beach","FL",19578
"34473","Ocala","Marion","FL",19522
"33606","Tampa","Hillsborough","FL",19466
"34747","Kissimmee","Osceola","FL",19413
"32217","Jacksonville","Duval","FL",19411
"32024","Lake City","Columbia","FL",19378
"34238","Sarasota","Sarasota","FL",19364
"34212","Bradenton","Manatee","FL",19301
"33187","Miami","Miami-Dade","FL",19286
"34481","Ocala","Marion","FL",19147
"33774","Largo","Pinellas","FL",19108
"34480","Ocala","Marion","FL",19029
"33572","Apollo Beach","Hillsborough","FL",18998
"32541","Destin","Okaloosa","FL",18908
"34685","Palm Harbor","Pinellas","FL",18899
"32141","Edgewater","Volusia","FL",18828
"33304","Fort Lauderdale","Broward","FL",18771
"32934","Melbourne","Brevard","FL",18761
"32351","Quincy","Gadsden","FL",18643
"34286","North Port","Sarasota","FL",18625
"32601","Gainesville","Alachua","FL",18579
"32097","Yulee","Nassau","FL",18518
"33609","Tampa","Hillsborough","FL",18413
"33912","Fort Myers","Lee","FL",18402
"33523","Dade City","Pasco","FL",18387
"33759","Clearwater","Pinellas","FL",18366
"33635","Tampa","Hillsborough","FL",18353
"33408","North Palm Beach","Palm Beach","FL",18248
"33598","Wimauma","Hillsborough","FL",18226
"34736","Groveland","Lake","FL",18213
"32408","Panama City","Bay","FL",18141
"34420","Belleview","Marion","FL",18107
"34695","Safety Harbor","Pinellas","FL",18096
"34285","Venice","Sarasota","FL",18069
"33716","Saint Petersburg","Pinellas","FL",18043
"33549","Lutz","Hillsborough","FL",18015
"34233","Sarasota","Sarasota","FL",17989
"32966","Vero Beach","Indian River","FL",17868
"33773","Largo","Pinellas","FL",17768
"33559","Lutz","Hillsborough","FL",17731
"34145","Marco Island","Collier","FL",17692
"32804","Orlando","Orange","FL",17653
"34465","Beverly Hills","Citrus","FL",17603
"32433","Defuniak Springs","Walton","FL",17586
"33413","West Palm Beach","Palm Beach","FL",17473
"33605","Tampa","Hillsborough","FL",17457
"34613","Brooksville","Hernando","FL",17433
"33182","Miami","Miami-Dade","FL",17379
"32821","Orlando","Orange","FL",17374
"34223","Englewood","Sarasota","FL",17370
"34771","Saint Cloud","Osceola","FL",17351
"32118","Daytona Beach","Volusia","FL",17349
"33637","Tampa","Hillsborough","FL",17345
"33565","Plant City","Hillsborough","FL",17311
"34237","Sarasota","Sarasota","FL",17307
"33760","Clearwater","Pinellas","FL",17260
"32766","Oviedo","Seminole","FL",17252
"34105","Naples","Collier","FL",17248
"32428","Chipley","Washington","FL",17179
"33777","Seminole","Pinellas","FL",17179
"32055","Lake City","Columbia","FL",17114
"33898","Lake Wales","Polk","FL",17107
"34950","Fort Pierce","Saint Lucie","FL",17027
"34210","Bradenton","Manatee","FL",17023
"34994","Stuart","Martin","FL",16909
"34788","Leesburg","Lake","FL",16886
"33004","Dania","Broward","FL",16812
"33066","Pompano Beach","Broward","FL",16786
"34114","Naples","Collier","FL",16727
"33131","Miami","Miami-Dade","FL",16715
"34474","Ocala","Marion","FL",16659
"34446","Homosassa","Citrus","FL",16647
"34108","Naples","Collier","FL",16636
"33704","Saint Petersburg","Pinellas","FL",16503
"32206","Jacksonville","Duval","FL",16500
"33534","Gibsonton","Hillsborough","FL",16487
"33948","Port Charlotte","Charlotte","FL",16361
"33190","Miami","Miami-Dade","FL",16305
"33706","Saint Petersburg","Pinellas","FL",16294
"33146","Miami","Miami-Dade","FL",16156
"33616","Tampa","Hillsborough","FL",16145
"33708","Saint Petersburg","Pinellas","FL",16098
"34292","Venice","Sarasota","FL",16054
"32226","Jacksonville","Duval","FL",16013
"34951","Fort Pierce","Saint Lucie","FL",15978
"34224","Englewood","Sarasota","FL",15913
"32310","Tallahassee","Leon","FL",15864
"34117","Naples","Collier","FL",15794
"33872","Sebring","Highlands","FL",15778
"32922","Cocoa","Brevard","FL",15741
"34984","Port Saint Lucie","Saint Lucie","FL",15663
"33035","Homestead","Miami-Dade","FL",15658
"34239","Sarasota","Sarasota","FL",15499
"32459","Santa Rosa Beach","Walton","FL",15400
"32091","Starke","Bradford","FL",15311
"33972","Lehigh Acres","Lee","FL",15299
"33330","Fort Lauderdale","Broward","FL",15226
"33701","Saint Petersburg","Pinellas","FL",15209
"33469","Jupiter","Palm Beach","FL",15195
"33301","Fort Lauderdale","Broward","FL",15062
"32641","Gainesville","Alachua","FL",14989
"33019","Hollywood","Broward","FL",14933
"33412","West Palm Beach","Palm Beach","FL",14918
"33527","Dover","Hillsborough","FL",14850
"33136","Miami","Miami-Dade","FL",14839
"32963","Vero Beach","Indian River","FL",14790
"33154","Miami","Miami-Dade","FL",14790
"33778","Largo","Pinellas","FL",14710
"34241","Sarasota","Sarasota","FL",14675
"34235","Sarasota","Sarasota","FL",14671
"32317","Tallahassee","Leon","FL",14665
"34610","Spring Hill","Pasco","FL",14656
"32615","Alachua","Alachua","FL",14630
"32176","Ormond Beach","Volusia","FL",14629
"32413","Panama City Beach","Bay","FL",14619
"32534","Pensacola","Escambia","FL",14524
"32656","Keystone Heights","Clay","FL",14433
"33983","Punta Gorda","Charlotte","FL",14422
"33602","Tampa","Hillsborough","FL",14409
"33498","Boca Raton","Palm Beach","FL",14404
"33815","Lakeland","Polk","FL",14328
"33765","Clearwater","Pinellas","FL",14270
"32931","Cocoa Beach","Brevard","FL",14118
"32903","Indialantic","Brevard","FL",14090
"32968","Vero Beach","Indian River","FL",14015
"34134","Bonita Springs","Lee","FL",13977
"34442","Hernando","Citrus","FL",13953
"32063","Macclenny","Baker","FL",13840
"32011","Callahan","Nassau","FL",13805
"33873","Wauchula","Hardee","FL",13762
"33170","Miami","Miami-Dade","FL",13748
"33477","Jupiter","Palm Beach","FL",13710
"34479","Ocala","Marion","FL",13533
"32425","Bonifay","Holmes","FL",13480
"33315","Fort Lauderdale","Broward","FL",13362
"33980","Port Charlotte","Charlotte","FL",13336
"34731","Fruitland Park","Lake","FL",13218
"34947","Fort Pierce","Saint Lucie","FL",13188
"32220","Jacksonville","Duval","FL",13179
"32653","Gainesville","Alachua","FL",13168
"33129","Miami","Miami-Dade","FL",13128
"32669","Newberry","Alachua","FL",13098
"33149","Key Biscayne","Miami-Dade","FL",13054
"32254","Jacksonville","Duval","FL",13039
"33478","Jupiter","Palm Beach","FL",13015
"32908","Palm Bay","Brevard","FL",13001
"32569","Mary Esther","Okaloosa","FL",12971
"34236","Sarasota","Sarasota","FL",12920
"33132","Miami","Miami-Dade","FL",12895
"34475","Ocala","Marion","FL",12882
"33776","Seminole","Pinellas","FL",12872
"34103","Naples","Collier","FL",12802
"34669","Hudson","Pasco","FL",12752
"32348","Perry","Taylor","FL",12673
"34432","Dunnellon","Marion","FL",12583
"33403","West Palm Beach","Palm Beach","FL",12558
"33305","Fort Lauderdale","Broward","FL",12425
"32776","Sorrento","Lake","FL",12416
"32696","Williston","Levy","FL",12363
"32344","Monticello","Jefferson","FL",12360
"33567","Plant City","Hillsborough","FL",12318
"32784","Umatilla","Lake","FL",12313
"34288","North Port","Sarasota","FL",12304
"33513","Bushnell","Sumter","FL",12303
"33853","Lake Wales","Polk","FL",12254
"32693","Trenton","Gilchrist","FL",12186
"32801","Orlando","Orange","FL",12174
"33868","Polk City","Polk","FL",12092
"32951","Melbourne Beach","Brevard","FL",12029
"34690","Holiday","Pasco","FL",12028
"32219","Jacksonville","Duval","FL",11931
"33483","Delray Beach","Palm Beach","FL",11904
"32054","Lake Butler","Union","FL",11724
"34604","Brooksville","Hernando","FL",11573
"32501","Pensacola","Escambia","FL",11557
"33332","Fort Lauderdale","Broward","FL",11518
"34102","Naples","Collier","FL",11454
"34453","Inverness","Citrus","FL",11427
"33955","Punta Gorda","Charlotte","FL",11406
"34452","Inverness","Citrus","FL",11400
"32446","Marianna","Jackson","FL",11303
"32340","Madison","Madison","FL",11294
"32643","High Springs","Alachua","FL",11207
"34222","Ellenton","Manatee","FL",11184
